backbone,normalization,pca_n_components,config,grad_distance_morph_corr,grad_neighborhood_consistency,grad_gradient_smoothness_moran
nasnet,standard,5,standard+pca5,0.16064912159989309,-0.06448212527296482,0.24680430230432895
nasnet,standard,10,standard+pca10,0.16996106841760641,-0.05846731912118064,0.26733854414086206
nasnet,standard,20,standard+pca20,0.1792313352269853,-0.013684398703721401,0.2913672674763575
nasnet,l2,5,l2+pca5,0.10770456522895507,-0.1234783152771981,0.24142482992510678
nasnet,l2,10,l2+pca10,0.13105641915848598,-0.08375442192373694,0.2898147674404647
nasnet,l2,20,l2+pca20,0.16789442339817032,-0.01460011513094761,0.29724428029174926
nasnet,none,5,none+pca5,0.1315713524203558,-0.10578161858745982,0.24760958675602787
nasnet,none,10,none+pca10,0.14670223972824317,-0.07669296201443232,0.27523865550451954
nasnet,none,20,none+pca20,0.17849036152143763,-0.030605907356049178,0.29246708368030244
xception,standard,5,standard+pca5,0.185849140077826,-0.12110344561504194,0.26190151717162435
xception,standard,10,standard+pca10,0.20609516000860756,-0.05635205107813812,0.2840371555548887
xception,standard,20,standard+pca20,0.2191367454810563,0.04767014261793834,0.3091589602464316
xception,l2,5,l2+pca5,0.1683123965025306,-0.08593724783641443,0.28657746866750944
xception,l2,10,l2+pca10,0.19718321645054385,-0.015098244080467449,0.3149831918779128
xception,l2,20,l2+pca20,0.22207493031862732,0.06780380572250078,0.33269192682965515
xception,none,5,none+pca5,0.15600161636905352,-0.12477869581192347,0.25548009492539964
xception,none,10,none+pca10,0.1953846164912264,-0.03291364453386003,0.3239583311822485
xception,none,20,none+pca20,0.21884312007514978,0.060412938960875295,0.32375500939229046
